Rendering est
  INFO     Rendering texts in 10621 tiles...                                                                                                                                                                
         23726113 function calls (23592317 primitive calls) in 70.825 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    59806    0.062    0.000    0.062    0.000 {built-in method builtins.getattr}
     3618    0.005    0.000    0.061    0.000 base.py:128(coords)
    14122    0.024    0.000    0.061    0.000 _binary.py:60(i32le)
    64800    0.039    0.000    0.061    0.000 schema.py:56(<listcomp>)
    36989    0.059    0.000    0.059    0.000 {method 'split' of 'str' objects}
    14122    0.048    0.000    0.058    0.000 ImageFile.py:219(<listcomp>)
   103024    0.057    0.000    0.057    0.000 schema.py:289(__init__)
        4    0.000    0.000    0.055    0.014 skin.py:40(<dictcomp>)
        1    0.000    0.000    0.055    0.055 __init__.py:8(_configure_system)
        2    0.000    0.000    0.055    0.028 __init__.py:340(__init__)
        2    0.055    0.027    0.055    0.027 {built-in method _ctypes.dlopen}
      384    0.001    0.000    0.055    0.000 skin.py:83(__init__)
      885    0.003    0.000    0.054    0.000 utils.py:175(wip_tiles_dir)
      384    0.002    0.000    0.054    0.000 skin.py:94(<dictcomp>)
    14122    0.053    0.000    0.053    0.000 PngImagePlugin.py:442(chunk_IDAT)
     3954    0.004    0.000    0.052    0.000 <__array_function__ internals>:2(stack)
      204    0.001    0.000    0.049    0.000 sre_compile.py:622(_code)
    14122    0.038    0.000    0.049    0.000 ImageFile.py:533(_safe_read)
    14652    0.047    0.000    0.047    0.000 Image.py:500(__init__)
        1    0.000    0.000    0.047    0.047 services.py:1(<module>)
        1    0.000    0.000    0.046    0.046 Image.py:357(init)
    18748    0.009    0.000    0.046    0.000 schema.py:414(<genexpr>)
        5    0.001    0.000    0.045    0.009 core.py:1(<module>)
        3    0.000    0.000    0.045    0.015 compat.py:1(<module>)
        1    0.000    0.000    0.045    0.045 connectionpool.py:1(<module>)
    42099    0.027    0.000    0.043    0.000 Image.py:135(isImageType)
        2    0.000    0.000    0.043    0.021 connection.py:1(<module>)
        1    0.000    0.000    0.043    0.043 dataset.py:1(<module>)
    17432    0.012    0.000    0.042    0.000 schema.py:319(_dict_key_priority)
     4195    0.003    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.041    0.041 rpdb.py:1(<module>)
        1    0.000    0.000    0.040    0.040 gcs_utils.py:1(<module>)
    14122    0.040    0.000    0.040    0.000 {built-in method PIL._imaging.zip_decoder}
   174064    0.040    0.000    0.040    0.000 {built-in method _stat.S_ISLNK}
    14122    0.020    0.000    0.040    0.000 _util.py:5(is_path)
     3954    0.014    0.000    0.040    0.000 shape_base.py:357(stack)
     3954    0.003    0.000    0.039    0.000 <__array_function__ internals>:2(broadcast_arrays)
        1    0.000    0.000    0.038    0.038 compute.py:1(<module>)
     3618    0.003    0.000    0.038    0.000 base.py:502(has_z)
 1858/204    0.012    0.000    0.037    0.000 sre_compile.py:87(_compile)
       38    0.000    0.000    0.037    0.001 dataclasses.py:1175(wrap)
    99819    0.037    0.000    0.037    0.000 Image.py:527(size)
       38    0.003    0.000    0.037    0.001 dataclasses.py:882(_process_class)
        1    0.000    0.000    0.037    0.037 _pickle.py:1(<module>)
    17432    0.011    0.000    0.037    0.000 schema.py:328(_is_optional_type)
    14033    0.035    0.000    0.035    0.000 {method 'paste' of 'ImagingCore' objects}
153948/151811    0.034    0.000    0.034    0.000 {built-in method builtins.len}
     6492    0.027    0.000    0.034    0.000 internal.py:28(_str_to_tuple)
     1920    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     1016    0.006    0.000    0.034    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       10    0.001    0.000    0.033    0.003 utils.py:1(<module>)
    14210    0.022    0.000    0.032    0.000 Image.py:311(preinit)
     3954    0.009    0.000    0.032    0.000 stride_tricks.py:478(broadcast_arrays)
        1    0.000    0.000    0.032    0.032 multiarray.py:1(<module>)
  645/416    0.001    0.000    0.032    0.000 typing.py:401(__getitem__)
     1090    0.006    0.000    0.032    0.000 typing.py:1016(__init__)
    28244    0.032    0.000    0.032    0.000 Image.py:513(__getattr__)
    14162    0.024    0.000    0.031    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.031    0.016 validators.py:1(<module>)
    28244    0.031    0.000    0.031    0.000 {built-in method zlib.crc32}
        1    0.000    0.000    0.030    0.030 overrides.py:1(<module>)
        1    0.000    0.000    0.030    0.030 _format.py:1(<module>)
      200    0.029    0.000    0.029    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.029    0.029 base_events.py:1(<module>)
    14122    0.028    0.000    0.028    0.000 BmpImagePlugin.py:51(_accept)
    99321    0.028    0.000    0.028    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.028    0.028 ssl_.py:1(<module>)
    14122    0.028    0.000    0.028    0.000 Image.py:3022(_decompression_bomb_check)
    28293    0.026    0.000    0.028    0.000 __init__.py:1724(isEnabledFor)
        1    0.001    0.001    0.027    0.027 common_pb2.py:1(<module>)
     2164    0.004    0.000    0.027    0.000 skin.py:95(<listcomp>)
        1    0.000    0.000    0.027    0.027 _types.py:1(<module>)
    43157    0.027    0.000    0.027    0.000 {method 'pixel_access' of 'ImagingCore' objects}
     9456    0.009    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1876    0.009    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
   124216    0.026    0.000    0.026    0.000 {method 'reverse' of 'list' objects}
      410    0.003    0.000    0.026    0.000 typing.py:483(Union)
    14122    0.026    0.000    0.026    0.000 {method 'setimage' of 'ImagingDecoder' objects}
    11568    0.015    0.000    0.026    0.000 schema.py:157(<listcomp>)
        1    0.000    0.000    0.026    0.026 load_package.py:1(<module>)
        1    0.000    0.000    0.026    0.026 url.py:1(<module>)
        1    0.000    0.000    0.026    0.026 skin.py:1(<module>)
        1    0.000    0.000    0.025    0.025 math_utils.py:1(<module>)
       38    0.000    0.000    0.025    0.001 dataclasses.py:1157(dataclass)
      602    0.025    0.000    0.025    0.000 {built-in method builtins.compile}
    17620    0.009    0.000    0.025    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.024    0.024 lazy_block_list.py:1(<module>)
        1    0.000    0.000    0.024    0.024 logger.py:1(<module>)
        1    0.000    0.000    0.023    0.023 coord.py:1(<module>)
        1    0.000    0.000    0.023    0.023 logging.py:1(<module>)
      963    0.023    0.000    0.023    0.000 {method '__exit__' of '_io._IOBase' objects}
      316    0.001    0.000    0.023    0.000 overrides.py:183(decorator)
    28244    0.023    0.000    0.023    0.000 PngImagePlugin.py:696(_accept)
    14209    0.017    0.000    0.023    0.000 Image.py:519(width)
        3    0.000    0.000    0.023    0.008 serialization.py:1(<module>)
        1    0.000    0.000    0.023    0.023 universaldetector.py:1(<module>)
    14122    0.023    0.000    0.023    0.000 TiffImagePlugin.py:269(_accept)
        2    0.000    0.000    0.022    0.011 traceback.py:1(<module>)
    28249    0.022    0.000    0.022    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.022    0.022 secrets.py:1(<module>)
     3618    0.021    0.000    0.021    0.000 predicates.py:37(has_z)
      122    0.001    0.000    0.021    0.000 dataclasses.py:412(_create_fn)
      889    0.016    0.000    0.020    0.000 sre_compile.py:292(_optimize_charset)
    14209    0.015    0.000    0.020    0.000 Image.py:523(height)
     1943    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    0.019    0.019 autoscaler.py:1(<module>)
     2020    0.009    0.000    0.019    0.000 typing.py:146(_type_check)
    19075    0.019    0.000    0.019    0.000 {built-in method builtins.min}
    14122    0.019    0.000    0.019    0.000 PngImagePlugin.py:161(__init__)
      349    0.002    0.000    0.018    0.000 typing.py:1138(__getitem__)
        1    0.000    0.000    0.018    0.018 workflow_storage.py:1(<module>)
     9022    0.009    0.000    0.018    0.000 typing.py:986(__setattr__)
      229    0.001    0.000    0.018    0.000 typing.py:523(Optional)
